;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;;;;;;wiki_url;len
Q18627792;;;https://ht.wikipedia.org/wiki/Sophia_D%C3%A9sir;#N/A;#N/A;3665;;;;;;https://en.wikipedia.org/wiki/Georges_Castera;2669
Q12893500;https://en.wikipedia.org/wiki/Lilas_Desquiron;;https://ht.wikipedia.org/wiki/Lilas_Desquiron;1665;#N/A;804;;;;;;https://fr.wikipedia.org/wiki/Georges_Castera;16949
Q55217155;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Georges_Castera;3310
Q12891968;;;https://ht.wikipedia.org/wiki/Jenner_Desroches;#N/A;#N/A;805;;;;;;https://ht.wikipedia.org/wiki/Syto_Cav%C3%A9;2519
Q3187394;;https://fr.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;https://ht.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;#N/A;14932;2823;;;;;;https://en.wikipedia.org/wiki/Cl%C3%A9ante_Valcin;1831
Q16946539;;https://fr.wikipedia.org/wiki/Jan_J._Dominique;https://ht.wikipedia.org/wiki/Jan_J._Dominique;#N/A;7197;791;;;;;;https://ht.wikipedia.org/wiki/Cl%C3%A9ante_Valcin;2161
Q18412231;;;https://ht.wikipedia.org/wiki/Max_Dorsinville;#N/A;#N/A;1415;;;;;;https://fr.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;3871
Q2990316;https://en.wikipedia.org/wiki/Roger_Dorsinville;https://fr.wikipedia.org/wiki/Roger_Dorsinville;https://ht.wikipedia.org/wiki/Roger_Dorsinville;2683;6541;989;;;;;;https://ht.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;1646
Q55217151;;;;#N/A;#N/A;#N/A;;;;;;https://en.wikipedia.org/wiki/Myriam_J._A._Chancy;5868
Q16946096;;;https://ht.wikipedia.org/wiki/Duccha;#N/A;#N/A;897;;;;;;https://en.wikipedia.org/wiki/Christophe_Charles;1591
