;?Nom;Wiki_ID;Nom;normalized;wikipage_fr;wikipage_en;wikipage_ht;wikipage_fr_len;wikipage_ht_len;wikipage_en_len;;;;;;;;;;
93;GÃ©rard Ã‰tienne;Q289255;GÃ©rard Ã‰tienne;Gã©Rard_Ã‰Tienne;https://fr.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;https://en.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;;36780,00;;11562,00;;;;;;;;;;
94;Louis-Joseph Janvier;Q3123203;Louis-Joseph Janvier;Louis-Joseph_Janvier;https://fr.wikipedia.org/wiki/Louis-Joseph_Janvier;https://en.wikipedia.org/wiki/Louis-Joseph_Janvier;https://ht.wikipedia.org/wiki/Louis_Joseph_Janvier;5347,00;845,00;2952,00;;;;;;;;;;
95;ClÃ©ante Valcin;Q62577905;Cléante Valcin;Cléante_Valcin;;https://en.wikipedia.org/wiki/Cl%C3%A9ante_Valcin;https://ht.wikipedia.org/wiki/Cl%C3%A9ante_Valcin;;2161,00;1831,00;;;;;;;;;;
96;Bonel Auguste;Q16945858;Bonel Auguste;Bonel_Auguste;;;https://ht.wikipedia.org/wiki/Bonel_Auguste;;840,00;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;
98;Voegeli Juste-Constant;;Voegeli Juste-Constant;Voegeli_Juste-Constant;;;;;;;;;;;;;;;;
99;Jean Florival;Q16946574;Jean Florival;Jean_Florival;;;https://ht.wikipedia.org/wiki/Jean_Florival;;789,00;;;;;;;;;;;
100;Elsie SurÃ©na;Q12890326;Elsie Suréna;Elsie_Suréna;;https://en.wikipedia.org/wiki/Elsie_Sur%C3%A9na;https://ht.wikipedia.org/wiki/Elsie_Surena;;1367,00;3380,00;;;;;;;;;;
101;Jenner Desroches;Q12891968;Jenner Desroches;Jenner_Desroches;;;https://ht.wikipedia.org/wiki/Jenner_Desroches;;805,00;;;;;;;;;;;
102;Fred Edson Lafortune;Q3086821;Fred Edson Lafortune;Fred_Edson_Lafortune;https://fr.wikipedia.org/wiki/Fred_Edson_Lafortune;;https://ht.wikipedia.org/wiki/Fred_Edson_Lafortune;7082,00;3745,00;;;;;;;;;;;
103;Constant Jeanty;;Constant Jeanty;Constant_Jeanty;;;;;;;;;;;;;;;;
104;Jean AndrÃ© Constant;Q12891886;Jean André Constant;Jean_André_Constant;;;https://ht.wikipedia.org/wiki/Jean_Andr%C3%A9_Constant;;885,00;;;;;;;;;;;
105;Oswald Durand;Q3113256;Oswald Durand;Oswald_Durand;https://fr.wikipedia.org/wiki/Oswald_Durand;https://en.wikipedia.org/wiki/Oswald_Durand;https://ht.wikipedia.org/wiki/Oswald_Durand;7558,00;4634,00;10328,00;;;;;;;;;;
106;JoÃ«l Des Rosiers;Q3187394;Joël Des Rosiers;Joël_Des_Rosiers;https://fr.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;;https://ht.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;14932,00;2823,00;;;;;;;;;;;
107;Margaret Mitchell Armand;;Margaret Mitchell Armand;Margaret_Mitchell_Armand;;;;;;;;;;;;;;;;
108;Georges Castera;Q12890993;Georges Castera;Georges_Castera;https://fr.wikipedia.org/wiki/Georges_Castera;https://en.wikipedia.org/wiki/Georges_Castera;https://ht.wikipedia.org/wiki/Georges_Castera;16949,00;3310,00;2669,00;;;;;;;;;;
109;André Fouad;;André Fouad;André_Fouad;;;;;;;;;;;;;;;;
110;J.M. Lominy;;J.M. Lominy;J.M._Lominy;;;;;;;;;;;;;;;;
111;Kettly Mars;Q3195618;Kettly Mars;Kettly_Mars;https://fr.wikipedia.org/wiki/Kettly_Mars;https://en.wikipedia.org/wiki/Kettly_Mars;https://ht.wikipedia.org/wiki/Kettly_Mars;6812,00;4034,00;9651,00;;;;;;;;;;
112;Jean Price-Mars;Q3045911;Jean Price-Mars;Jean_Price-Mars;https://fr.wikipedia.org/wiki/Jean_Price_Mars;https://en.wikipedia.org/wiki/Jean_Price-Mars;https://ht.wikipedia.org/wiki/Jean_Price-Mars;9407,00;3000,00;7853,00;;;;;;;;;;
113;MarlÃ¨ne Rigaud Apollon;Q12894134;Marlène Rigaud Apollon;Marlène_Rigaud_Apollon;;https://en.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;https://ht.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;;1369,00;2713,00;;;;;;;;;;
114;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;;;;
116;Josaphat-Robert Large;Q531431;Josaphat-Robert Large;Josaphat-Robert_Large;https://fr.wikipedia.org/wiki/Josaphat-Robert_Large;https://en.wikipedia.org/wiki/Josaphat-Robert_Large;https://ht.wikipedia.org/wiki/Josaphat-Robert_Large;10083,00;7217,00;10673,00;;;;;;;;;;
117;;;;;;;;;;;;;;;;;;;;
118;Nadine Magloire;Q47571408;Nadine Magloire;Nadine_Magloire;;https://en.wikipedia.org/wiki/Nadine_Magloire;;;;2232,00;;;;;;;;;;
119;Fabienne Pasquet;Q12890543;Fabienne Pasquet;Fabienne_Pasquet;;;https://ht.wikipedia.org/wiki/Fabienne_Pasquet;;952,00;;;;;;;;;;;
120;Edgard Gousse;Q55725389;Edgard Gousse;Edgard_Gousse;;;;;;;;;;;;;;;;
121;Saint-John Kauss;Q55217152;Saint-John Kauss;Saint-John_Kauss;;;;;;;;;;;;;;;;
122;Myriam J. M. Chancy;Q18631149;Myriam J. M. Chancy;Myriam_J._M._Chancy;;https://en.wikipedia.org/wiki/Myriam_J._A._Chancy;;;;5868,00;;;;;;;;;;
123;Paul Laraque;Q3371635;Paul Laraque;Paul_Laraque;https://fr.wikipedia.org/wiki/Paul_Laraque;;https://ht.wikipedia.org/wiki/Paul_Laraque;2267,00;808,00;;;;;;;;;;;
124;Roussan Camille;Q953097;Roussan Camille;Roussan_Camille;https://fr.wikipedia.org/wiki/Roussan_Camille;https://en.wikipedia.org/wiki/Roussan_Camille;https://ht.wikipedia.org/wiki/Roussan_Camille;4170,00;783,00;3459,00;;;;;;;;;;
125;Fernand Hibbert;Q2368727;Fernand Hibbert;Fernand_Hibbert;https://fr.wikipedia.org/wiki/Fernand_Hibbert;https://en.wikipedia.org/wiki/Fernand_Hibbert;https://ht.wikipedia.org/wiki/Fernand_Hibbert;5484,00;850,00;2035,00;;;;;;;;;;
126;;;;;;;;;;;;;;;;;;;;
127;Justin LhÃ©risson;Q3190467;Justin Lhérisson;Justin_Lhérisson;https://fr.wikipedia.org/wiki/Justin_Lh%C3%A9risson;https://en.wikipedia.org/wiki/Justin_Lh%C3%A9risson;https://ht.wikipedia.org/wiki/Justin_Lh%C3%A9risson;5188,00;2909,00;2318,00;;;;;;;;;;
128;Nassur Attoumani;Q3336266;Nassur Attoumani;Nassur_Attoumani;https://fr.wikipedia.org/wiki/Nassur_Attoumani;;https://ht.wikipedia.org/wiki/Nassur_Attoumani;8732,00;2963,00;;;;;;;;;;;
