orig;type_;langue;collectif;
sur jean andré constant;autour de l'�uvre / de l'auteur;;FAUX;
traductions en créole par georges castera;traductions;creole;FAUX;
romans;romans;;FAUX;
livres éducatifs pour les jeunes;livres;;FAUX;jeunesse
enregistrement sonore;enregistrement;;FAUX;
articles sélectionnés, en ligne avec île en île;articles/essais;;FAUX;
document;document;;FAUX;
poésie parue dans des revues;poesie;;FAUX;revue
en català;;catalan;FAUX;
hommages à mimi barthélémy (1939-2013);autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de jacqueline beaugé-rosier;autour de l'�uvre / de l'auteur;;FAUX;
poésie de raymond chassagne en ligne sur île en île;textes en ligne;;FAUX;
hommages à gérard étienne (1936-2008);autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de léon laleau;autour de l'�uvre / de l'auteur;;FAUX;
fiction et poésie publiées dans des ouvrages collectifs;fiction;;VRAI;
articles divers;articles/essais;;FAUX;
liens sur anténor firmin;sur le web;;FAUX;
interprétations et mises en scène;theatre;;FAUX;
sélection d’hommages à jacqueline scott-lemoine (1923-2011);autour de l'�uvre / de l'auteur;;FAUX;
expositions de photographie et de peinture;expositions;;FAUX;
lodyans;;;FAUX;
sur édris saint-amand;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre d’anthony phelps;autour de l'�uvre / de l'auteur;;FAUX;
nouvelle;nouvelle;;FAUX;
hommages à serge legagneur (1937-2017);autour de l'�uvre / de l'auteur;;FAUX;
traductions par guy junior régis;traductions;;FAUX;
ouvrage collectif;ouvrage;;VRAI;
essais;articles/essais;;FAUX;
contes et proverbes;contes;;FAUX;
études sur roger dorsinville;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de max dorsinville;autour de l'�uvre / de l'auteur;;FAUX;
textes et photos d’elsie suréna en ligne;textes en ligne;;FAUX;
romans / novels;nouvelles;;FAUX;
essai;articles/essais;;FAUX;
josaphat large figure dans;josaphat;;FAUX;
sur l’oeuvre de kettly mars;autour de l'�uvre / de l'auteur;;FAUX;
romans jeunesse;roman;;FAUX;jeunesse
textes et articles sélectionnés;articles/essais;;FAUX;
textes sélectionnés parus dans des ouvrages collectifs;;;VRAI;collectif
entretien;entretien;;FAUX;
monographie;autour de l'�uvre / de l'auteur;;FAUX;
livres jeunesse;livres;;FAUX;jeunesse
romans-feuilleton;romans;;FAUX;
